unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,LINCS_HMS.cellid,,SU2C.cellid,PGP.cellid,COSMIC.tissueid,Comment
CAL-148,CAL-148,CAL-148,,,CAL148,CAL-148,,CAL-148,CAL-148,,cal148,,,,,breast,
CAL-27,CAL-27,CAL 27,CAL27,,,CAL 27,,CAL-27,CAL_27,,,,,,,upper_aerodigestive_tract,
CAL-51,CAL-51,CAL-51,,,CAL51,CAL51,,CAL-51,CAL-51,,cal51,,,,,breast,
CAL-54,CAL-54,CAL-54,CAL54,,,CAL 54,,CAL-54,CAL-54,,,,,,,kidney,
CAL-62,CAL-62,CAL-62,CAL62,,,,,CAL-62,CAL-62,,,,,,,thyroid,
CAL-85-1,CAL-85-1,CAL-85-1,,,CAL851,CAL-85-1,,CAL-85-1,CAL-85-1,,cal851,,,,,breast,
Calu-1,Calu-1,Calu-1,CALU1,,,Calu-1,,,Calu-1,,,,,,Calu1,lung,
Calu-3,Calu-3,Calu-3,CALU3,,,Calu-3,CALU3,Calu-3,Calu-3,,,,,,,lung,
Calu-6,Calu-6,Calu-6,CALU6,,,Calu-6,CALU6,Calu-6,Calu-6,,,,,,Calu6,lung,
CAMA-1,CAMA-1,CAMA-1,,,CAMA1,CAMA-1,,CAMA-1,CAMA-1,,cama1,,,CAMA1,CAMA1,breast,
Caov-3,Caov-3,Caov-3,CAOV3,,,Caov-3,CAOV3,,Caov-3,,,,,,,ovary,
CAPAN-1,CAPAN-1,Capan-1,CAPAN1,,,Capan-1,,CAPAN-1,Capan-1,,,,,,,pancreas,
Capan-2,Capan-2,Capan-2,CAPAN2,,,Capan-2,CAPAN2,Capan-2,Capan-2,,,,,,,pancreas,
CCF-STTG1,CCF-STTG1,CCF-STTG1,CCFSTTG1,,,,,CCF-STTG1,CCF-STTG1,,,,,,,central_nervous_system,
CCRF-CEM,CCRF-CEM,,CCRFCEM,LE:CCRF_CEM,,,,CCRF-CEM,,,,,,,,haematopoietic_and_lymphoid_tissue,
CEMC1,,,CEMC1,,,,,,,,,CEM/C1,,,,hematopoietic_and_lymphatic_system,
CFPAC-1,CFPAC-1,CFPAC-1,,,,CFPAC-1,CFPAC1,CFPAC-1,CFPAC-1,,,,,,,pancreas,
CGTH-W-1,CGTH-W-1,CGTH-W-1,CGTHW1,,,,,CGTH-W-1,,,,,,,,thyroid,
ChaGo-K-1,ChaGo-K-1,ChaGo-K-1,CHAGOK1,,,ChaGo-K-1,CHAGOK1,ChaGo-K-1,ChaGo-K-1,,,,,,,lung,
CHL-1,CHL-1,CHL-1,CHL1,,,CHL-1,,CHL-1,,,,,,,,skin,
CHP-212,CHP-212,CHP-212,CHP212,,,CHP-212,,CHP-212,CHP-212,,,,,,,autonomic_ganglia,
CL-34,,CL-34,,,,CL-34,CL34,CL-34,CL-34,,,,,,,large_intestine,
CL-40,,CL-40,,,,CL-40,CL40,CL-40,CL-40,,,,,,,large_intestine,
CML-T1,CML-T1,CML-T1,CMLT1,,,,,CML-T1,CML-T1,,,,,,,haematopoietic_and_lymphoid_tissue,
COLO 201,,COLO 201,COLO201,,,COLO 201,,,COLO_201,,,,,,,large_intestine,Edited; ATCC:colon
COLO 320DM,,,COLO320DM,,,COLO 320DM,,,,,,COLO 320DM,,,,large_intestine,
