unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,LINCS_HMS.cellid,,SU2C.cellid,PGP.cellid,COSMIC.tissueid,Comment
Hs 934.T,,Hs 934.T,,,,,,,Hs_934.T,,,,,,,skin,
Hs 936.T,,Hs 936.T,,,,Hs 936.T,HS936T,,Hs_936.T,,,,,,,skin,
Hs 939.T,,Hs 939.T,,,,,,,Hs_939.T,Hs939-T,,,,,,skin,
Hs 940.T,,Hs 940.T,,,,Hs 940.T,,Hs-940-T,Hs_940.T,Hs940-T,,,,,,skin,
Hs 944.T,,Hs 944.T,,,,,HS944T,Hs-944-T,Hs_944.T,,,,,,,skin,
Hs-578-T,Hs-578-T,Hs 578T,,BR:HS578T,HS578T,Hs 578T,,Hs-578-T,Hs_578T,,hs578t,Hs 578T,,HS578T,,breast,
HS-Sultan,,,HSSULTAN,,,HS-Sultan,,,,,,,,,,hematopoietic_and_lymphatic_system,
HSC-2,HSC-2,HSC-2,,,,,HSC2,HSC-2,HSC-2,,,,,,,upper_aerodigestive_tract,
HT-1080,HT-1080,HT-1080,HT1080,,,HT-1080,HT1080,HT-1080,HT-1080,,,HT 1080,,,,soft_tissue,
HT-115,,HT115,,,,HT-115,HT115,HT-115,HT115,,,,,,,large_intestine,
HT-1197,HT-1197,HT-1197,HT1197,,,,,HT-1197,HT-1197,,,,,,,urinary_tract,
HT-1376,HT-1376,HT-1376,HT1376,,,,HT1376,HT-1376,HT-1376,,,HT 1376,,,,urinary_tract,
HT-29,HT-29,HT-29,HT29,CO:HT29,,HT-29,HT29,HT-29,HT-29,,,,,,,large_intestine,
HT-3,HT-3,,HT3,,,,,HT-3,,,,,,,,cervix,
HT55,HT55,HT55,,,,HT-55,HT55,HT55,HT55,,,,,,,large_intestine,
HuH-28,HuH-28,HuH28,,,,,,,,,,,,,,biliary_tract,
HUH-6-clone5,HUH-6-clone5,HuH-6,,,,,,,HuH-6,,,,,,,liver,
HuH-7,HuH-7,HuH-7,,,,HuH-7,,HuH-7,HuH-7,,,Huh7,,,,liver,
HuNS1,HuNS1,HuNS1,HUNS1,,,,,,HuNS1,,,,,,,haematopoietic_and_lymphoid_tissue,
HuP-T3,HuP-T3,HUP-T3,,,,HUP-T3,,HuP-T3,HUP-T3,,,,,,,pancreas,
HuP-T4,HuP-T4,HUP-T4,HUPT4,,,HUP-T4,HUPT4,HuP-T4,HUP-T4,,,,,,,pancreas,
HuT 102,,HuT 102,,,,,,,HuT_102,,,,,,,haematopoietic_and_lymphoid_tissue,
HuT 78,,HuT 78,HUT78,,,,,,HuT_78,,,,,,,haematopoietic_and_lymphoid_tissue,ATCC:cutaneous T lymphocyte (Sezary Syndrome)
HUTU-80,HUTU-80,HuTu 80,,,,,,HUTU-80,HuTu_80,,,,,,,small_intestine,
IGROV-1,IGROV-1,IGROV1,IGROV1,OV:IGROV1,,IGROV-1,IGROV1,IGROV-1,IGROV1,,,,,,,ovary,
IM-95,,IM95,,,,IM-95,,IM-95,IM95,,,IM-95,,,,stomach,
Ishikawa (Heraklio) 02 ER-,,Ishikawa (Heraklio) 02 ER-,,,,,ISHIKAWAHERAKLIO02ER,Ishikawa_Heraklio_02ER-,Ishikawa__Heraklio__02_ER-,Ishikawa_Heraklio_02ER-,,,,,,endometrium,
J-RT3-T3-5,J-RT3-T3-5,,JRT3T35,,,,,J-RT3-T3-5,,,,,,,,haematopoietic_and_lymphoid_tissue,
JEG-3,JEG-3,,JEG3,,,,,JEG-3,,,,,,,,placenta,
JeKo-1,,JeKo-1,,,,JEKO-1,,JEKO-1,JeKo-1,JEKO-1,,,,,,haematopoietic_and_lymphoid_tissue,
JHH-6,,JHH-6,,,,,JHH6,JHH-6,JHH-6,,,,,,,liver,
JHOC-5,,JHOC-5,,,,,JHOC5,,JHOC-5,,,,,,,ovary,
JHOM-1,,JHOM-1,,,,,JHOM1,,JHOM-1,,,,,,,ovary,
JHOS-4,,JHOS-4,,,,,JHOS4,JHOS-4,JHOS-4,,,,,,,ovary,
JHUEM-2,,JHUEM-2,,,,,JHUEM2,,JHUEM-2,,,,,,,endometrium,
JIMT-1,,JIMT-1,,,JIMT1,JIMT-1,,JIMT-1,JIMT-1,,jimt1,,,,,breast,
JiyoyeP-2003,JiyoyeP-2003,,JIYOYE,,,,,JiyoyeP-2003,,,,Jiyoye,,,,haematopoietic_and_lymphoid_tissue,
JM1,,JM1,JM1,,,,,JM1,JM1,,,,,,,haematopoietic_and_lymphoid_tissue,ATCC: pre-B lymphoblast (B cell lymphoma)
"Jurkat, Clone E6-1",,JURKAT,,,,"Jurkat, Clone E6-1",,,JURKAT,Jurkat,,"Jurkat, Clone E6-1",,,,haematopoietic_and_lymphoid_tissue,
JVM-3,JVM-3,JVM-3,JVM3,,,,,JVM-3,JVM-3,,,,,,,haematopoietic_and_lymphoid_tissue,
K-562,K-562,K-562,K562,LE:K_562,,K-562,,K-562,K-562,,,,,,,haematopoietic_and_lymphoid_tissue,
K052,K052,KO52,,,,,,K052,,KO52,,,,,,haematopoietic_and_lymphoid_tissue,
KASUMI-1,KASUMI-1,KASUMI-1,,,,Kasumi-1,,KASUMI-1,KASUMI-1,,,,,,,haematopoietic_and_lymphoid_tissue,
KASUMI-2,,KASUMI-2,KASUMI2,,,,,,KASUMI-2,,,,,,,haematopoietic_and_lymphoid_tissue,
KATOIII,KATOIII,KATO III,KATOIII,,,KATO III,,KATOIII,KATO_III,,,,,,,stomach,
KE-97,,KE-97,,,,,KE97,,KE-97,,,,,,,haematopoietic_and_lymphoid_tissue,
KG-1,KG-1,KG-1,KG1,,,KG-1,,KG-1,KG-1,,,,,,,haematopoietic_and_lymphoid_tissue,
KHOS-240S,,,KHOS240S,,,,,,,,,KHOS-240S,,,,bone,
KM12,KM12,KM12,KM12,CO:KM12,,KM-12,KM12,KM12,KM12,,,,,,,large_intestine,
KMBC-2,,KMBC-2,,,,,KMBC2,,KMBC-2,,,,,,,urinary_tract,
KMS-11,,KMS-11,,,,KMS-11,KMS11,KMS-11,KMS-11,,,,,,,haematopoietic_and_lymphoid_tissue,
KNS-62,KNS-62,KNS-62,,,,KNS-62,KNS62,KNS-62,KNS-62,,,,,,,lung,
KNS-81-FD,KNS-81-FD,KNS-81,,,,,,KNS-81-FD,KNS-81,,,,,,,central_nervous_system,
KP-3,,KP-3,,,,KP-3,KP3,KP-3,KP-3,,,,,,,pancreas,
KP-4,KP-4,KP4,,,,KP4,,KP-4,KP4,,,,,,,pancreas,
KP-N-S19s,KP-N-S19s,KP-N-SI9s,,,,,,,KP-N-SI9s,,,,,,,autonomic_ganglia,
KPL-1,,KPL-1,KPL1,,,KPL-1,,,KPL-1,,kpl1,,,,,breast,Edited
KYSE-140,KYSE-140,KYSE-140,,,,KYSE-140,KYSE140,KYSE-140,KYSE-140,,,,,,,oesophagus,
KYSE-30,,KYSE-30,KYSE30,,,KYSE-30,,,KYSE-30,,,,,,,oesophagus,
KYSE-410,KYSE-410,KYSE-410,,,,,KYSE410,KYSE-410,KYSE-410,,,,,,,oesophagus,
KYSE-450,KYSE-450,KYSE-450,,,,KYSE-450,KYSE450,KYSE-450,KYSE-450,,,,,,,oesophagus,
L-428,L-428,L-428,L428,,,,,L-428,L-428,,,,,,,haematopoietic_and_lymphoid_tissue,
LC-1/sq-SF,,LC-1/sq-SF,,,,,LC1SQSF,,,,,LC-1 sq,,,,lung,
LCLC-103H,LCLC-103H,LCLC-103H,,,,LCLC-103H,LCLC103H,LCLC-103H,LCLC-103H,,,,,,,lung,
LCLC-97TM1,LCLC-97TM1,LCLC-97TM1,,,,LCLC-97TM1,LCLC97TM1,LCLC-97TM1,LCLC-97TM1,,,,,,,lung,
LN-229,,LN-229,,,,LN-229,LN229,LN-229,LN-229,,,,,,,central_nervous_system,
LNCaP-Clone-FGC,LNCaP-Clone-FGC,LNCaP clone FGC,LNCAP,,,,,LNCaP-Clone-FGC,LNCaP_clone_FGC,,,LNCaP,,,,prostate,
LOUCY,LOUCY,Loucy,,,,,,LOUCY,Loucy,,,Loucy,,,,haematopoietic_and_lymphoid_tissue,
LoVo,LoVo,LoVo,,,,LoVo,LOVO,LoVo,LoVo,,,,,,,large_intestine,
LOXIMVI,LOXIMVI,LOX IMVI,LOXIMVI,ME:LOXIMVI,,LOX-IMVI,,LOXIMVI,LOX_IMVI,,,,,,,haematopoietic_and_lymphoid_tissue,
LP-1,LP-1,LP-1,,,,LP-1,LP1,LP-1,LP-1,,,,,,,haematopoietic_and_lymphoid_tissue,
LS 180,,LS 180,,,,LS 180,LS180,LS-180,LS_180,LS-180,,,,,,large_intestine,
LS-1034,LS-1034,LS1034,LS1034,,,LS1034,,LS-1034,LS1034,,,,,,,large_intestine,
LS-123,LS-123,LS123,,,,,LS123,LS-123,LS123,,,,,,,large_intestine,
LS-174T,LS-174T,,LS174T,,,LS 174T,,,,,,LS174T,,,,large_intestine,
LS-411N,LS-411N,LS411N,,,,,LS411N,LS-411N,LS411N,,,,,,,large_intestine,
LS-513,LS-513,LS513,,,,,LS513,LS-513,LS513,,,,,,,large_intestine,
LU-135,LU-135,,,,,,,LU-135,,,,Lu-135,,,,lung,
LU-65,LU-65,LU65,,,,,LU65,LU-65,LU65,,,,,,,lung,
LU-99A,LU-99A,LU99,,,,,LU99,LU-99A,LU99,,,LU99A,,,,lung,
LXF-289,LXF-289,LXF-289,,,,LXF-289,LXF289,LXF-289,LXF-289,,,,,,,lung,
LY2,,,,,LY2,,,,,,ly2,,,,,breast,
M14,M14,,M14,ME:M14,,,,M14,,,,,,,M14,skin,
Malme-3M,Malme-3M,Malme-3M,MALME3M,ME:MALME_3M,,,,,Malme-3M,,,,,,,skin,
MA-CLS-2,,,,,,,,,,,macls2,,,,,breast,
MB 157,,MB 157,,,MB157,,,,,,mb157,,,,,breast,
MC-CAR,MC-CAR,,MCCAR,,,,,MC-CAR,,,,MC/CAR,,,,haematopoietic_and_lymphoid_tissue,
MC-IXC,MC-IXC,,MCIXC,,,,,,,,,,,,,autonomic_ganglia,
MCF10A,,,MCF10A,,MCF10A,MCF 10A,,,,,mcf10a,MCF 10A,,MCF10A,,breast,
MCF10F,,,,,MCF10F,,,,,,,MCF 10F,,MCF10F,,breast,
MCF12A,,,,,MCF12A,,,,,,mcf12a,,,,,breast,
MCF7,MCF7,MCF7,MCF7,BR:MCF7,MCF7,MCF-7,MCF7,MCF7,MCF7,,mcf7,,,MCF7,,breast,
MDA PCa 2b,,MDA PCa 2b,,,,,,,MDA_PCa_2b,,,,,,,prostate,
MDA-MB-134-VI,MDA-MB-134-VI,MDA-MB-134-VI,,,MDAMB134VI,MDA-MB-134-VI,,MDA-MB-134-VI,MDA-MB-134-VI,,mdamb134vi,,,MDAMB134VI,,breast,
MDA-MB-157,MDA-MB-157,MDA-MB-157,,,MDAMB157,MDA-MB-157,,MDA-MB-157,MDA-MB-157,,mdamb157,,,MDAMB157,MDAMB157,breast,
MDA-MB-175-VII,MDA-MB-175-VII,MDA-MB-175-VII,MDAMB175VII,,MDAMB175VII,MDA-MB-175-VII,,,MDA-MB-175-VII,,mdamb175vii,,,MDAMB175VII,MDAMB175,breast,
MDA-MB-231,MDA-MB-231,MDA-MB-231,MDAMB231,BR:MDA_MB_231,MDAMB231,MDA-MB-231,,MDA-MB-231,MDA-MB-231,,mdamb231,,,MDAMB231,MDAMB231,breast,
MDA-MB-330,,,,,,MDA-MB-330,,MDA-MB-330,,,mdamb330,,,,,breast,
MDA-MB-361,MDA-MB-361,MDA-MB-361,,,MDAMB361,MDA-MB-361,,MDA-MB-361,MDA-MB-361,,mdamb361,,,MDAMB361,,breast,
MDA-MB-415,MDA-MB-415,MDA-MB-415,,,MDAMB415,MDA-MB-415,,MDA-MB-415,MDA-MB-415,,mdamb415,,,MDAMB415,MDAMB415,breast,
MDA-MB-435,MDA-MB-435,MDA-MB-435S,MDAMB435,ME:MDA_MB_435,,MDA-MB-435,,,MDA-MB-435S,,,MDA-MB-435S,,,MDA435,skin,Currently people are debating whether or not this cell line is breast or skin. However the common view is that it is skin. Furthermore 435S is considered as a subline of the 435 
MDA-MB-436,,MDA-MB-436,,,MDAMB436,MDA-MB-436,,MDA-MB-436,MDA-MB-436,,mdamb436,,,MDAMB436,MDAMB436,breast,
MDA-MB-453,MDA-MB-453,MDA-MB-453,MDAMB453,,MDAMB453,MDA-MB-453,,MDA-MB-453,MDA-MB-453,,mdamb453,,,MDAMB453,MDAMB453,breast,
MDA-MB-468,MDA-MB-468,MDA-MB-468,MDAMB468,,MDAMB468,MDA-MB-468,,MDA-MB-468,MDA-MB-468,,mdamb468,,,MDAMB468,,breast,
MEC-1,,MEC-1,MEC1,,,,,MEC-1,MEC-1,,,,,,,haematopoietic_and_lymphoid_tissue,Literature:http://www.ncbi.nlm.nih.gov/pubmed/10071128 
MEG-01,MEG-01,MEG-01,MEG01,,,,,MEG-01,MEG-01,,,,,,,haematopoietic_and_lymphoid_tissue,
MES-SA,MES-SA,MES-SA,MESSA,,,,,MES-SA,MES-SA,,,,,,,endometrium,
Mewo,Mewo,MeWo,,,,MeWo,,Mewo,MeWo,,,,,,,skin,
MFE-319,,MFE-319,,,,,MFE319,MFE-319,MFE-319,,,,,,,endometrium,
MFM-223,MFM-223,,,,MFM223,MFM-223,,MFM-223,,,mfm223,,,,,breast,
MG-63,MG-63,MG-63,MG63,,,MG-63,,MG-63,MG-63,,,,,,,bone,
MHH-PREB-1,MHH-PREB-1,,MHHPREB1,,,MHH-PREB-1,,MHH-PREB-1,,,,,,,,haematopoietic_and_lymphoid_tissue,
MIA-PaCa-2,MIA-PaCa-2,MIA PaCa-2,MIAPACA2,,,MIA Paca-2,,MIA-PaCa-2,MIA_PaCa-2,,,,,,,pancreas,
MKN1,MKN1,MKN1,,,,MKN-1,,MKN1,MKN1,,,,,,,stomach,
MKN45,MKN45,MKN-45,,,,MKN-45,,MKN45,MKN-45,,,,,,,stomach,
MKN7,MKN7,MKN7,,,,MKN-7,MKN7,MKN7,MKN7,,,,,,,stomach,
MKN74,,MKN74,,,,MKN-74,MKN74,,MKN74,,,,,,,stomach,
ML-2,ML-2,,ML2,,,ML-2,,ML-2,,,,,,,,haematopoietic_and_lymphoid_tissue,
MM1-S,,MM1-S,,,,MM.1S,,MM1S,MM1-S,MM1S,,,,,,haematopoietic_and_lymphoid_tissue,
MOLM-16,,MOLM-16,,,,MOLM-16,MOLM16,MOLM-16,MOLM-16,,,,,,,haematopoietic_and_lymphoid_tissue,
MOLT-16,MOLT-16,MOLT-16,MOLT16,,,,,MOLT-16,MOLT-16,,,,,,,haematopoietic_and_lymphoid_tissue,
MOLT-4,MOLT-4,MOLT-4,MOLT4,LE:MOLT_4,,,,MOLT-4,,,,,,,,haematopoietic_and_lymphoid_tissue,
MOR/CPR,,MOR/CPR,,,,,,,MOR_CPR,,,,,,,lung,
MPP-89,MPP-89,MPP 89,,,,,,MPP-89,MPP_89,,,,,,,pleura,
MSTO-211H,MSTO-211H,MSTO-211H,,,,,MSTO211H,MSTO-211H,MSTO-211H,,,,,,,pleura,
MT3,,,MT3,,MT3,MT-3,,,,,,MT-3,,,,breast,
MV-4-11,MV-4-11,MV-4-11,MV411,,,MV-4-11,,MV-4-11,MV-4-11,,,,,,,haematopoietic_and_lymphoid_tissue,
MX-1,,,MX1,,MX1,MX-1,,,,,mx1,,,,,breast,
NALM-1,NALM-1,NALM-1,NALM1,,,,,,NALM-1,,,,,,,haematopoietic_and_lymphoid_tissue,
NALM-6,NALM-6,NALM-6,NALM6,,,NALM-6,,NALM-6,NALM-6,,,,,,,haematopoietic_and_lymphoid_tissue,
NB-TU-1-10,,,,,,,,NB-TU-1-10,,NB_TU_1-10,,,,,,Kidney,
NB1,NB1,NB-1,,,,,,NB1,NB-1,,,NB-1,,,,autonomic_ganglia,
NB4,NB4,NB-4,,,,,,NB4,NB-4,NB-4,,,,,,haematopoietic_and_lymphoid_tissue,
NC37,,,NC37,,,,,,,,,NC-37,,,,hematopoietic_and_lymphatic_system,
NCC-IT-A3,NCCIT,,,,,,,,,,,NCC-IT-A3,,,,testis,
NCI-ADR-RES,NCI-ADR-RES,,NCIADRRES,OV:NCI_ADR_RES,,,,,,,,,,,NCIADRRES,ovary,
NCI-H1048,NCI-H1048,NCI-H1048,NCIH1048,,,NCI-H1048,NCIH1048,NCI-H1048,NCI-H1048,,,,,,,lung,
NCI-H1092,NCI-H1092,NCI-H1092,NCIH1092,,,NCI-H1092,,NCI-H1092,NCI-H1092,,,,,,,lung,
NCI-H1105,NCI-H1105,NCI-H1105,,,,,NCIH1105,NCI-H1105,NCI-H1105,,,,,,,lung,
NCI-H1155,NCI-H1155,NCI-H1155,NCIH1155,,,NCI-H1155,,NCI-H1155,NCI-H1155,,,,,,,lung,
NCI-H1299,NCI-H1299,NCI-H1299,NCIH1299,,,NCI-H1299,NCIH1299,NCI-H1299,NCI-H1299,,,,,,NCIH1299,lung,
NCI-H1355,NCI-H1355,NCI-H1355,NCIH1355,,,NCI-H1355,NCIH1355,NCI-H1355,NCI-H1355,,,,,,NCIH1355,lung,
NCI-H1373,,NCI-H1373,,,,NCI-H1373,NCIH1373,,,,,,,,,lung,
NCI-H1395,NCI-H1395,NCI-H1395,NCIH1395,,,NCI-H1395,,NCI-H1395,NCI-H1395,,,,,,NCIH1395,lung,
NCI-H1435,,NCI-H1435,,,,NCI-H1435,NCIH1435,NCI-H1435,NCI-H1435,,,,,,,lung,
NCI-H1436,NCI-H1436,NCI-H1436,NCIH1436,,,,,NCI-H1436,NCI-H1436,,,,,,,lung,
NCI-H1437,NCI-H1437,NCI-H1437,NCIH1437,,,NCI-H1437,NCIH1437,,NCI-H1437,,,,,,,lung,
NCI-H146,NCI-H146,NCI-H146,NCIH146,,,NCI-H146,,NCI-H146,NCI-H146,,,,,,NCIH146,lung,
NCI-H1563,NCI-H1563,NCI-H1563,NCIH1563,,,,,NCI-H1563,NCI-H1563,,,,,,,lung,
NCI-H1568,,NCI-H1568,,,,NCI-H1568,NCIH1568,NCI-H1568,NCI-H1568,,,,,,,lung,
NCI-H157,NCI-H157,,NCIH157,,,,,,,,,,,,,lung,
NCI-H1573,NCI-H1573,NCI-H1573,NCIH1573,,,NCI-H1573,NCIH1573,NCI-H1573,NCI-H1573,,,,,,,lung,
NCI-H1581,NCI-H1581,NCI-H1581,NCIH1581,,,NCI-H1581,,NCI-H1581,NCI-H1581,,,,,,NCIH1581,lung,
NCI-H1618,NCI-H1618,NCI-H1618,NCIH1618,,,,,,NCI-H1618,,,,,,,lung,
NCI-H1623,NCI-H1623,NCI-H1623,NCIH1623,,,NCI-H1623,,NCI-H1623,NCI-H1623,,,,,,,lung,
NCI-H1650,NCI-H1650,NCI-H1650,NCIH1650,,,NCI-H1650,,NCI-H1650,NCI-H1650,,,,,,NCIH1650,lung,
NCI-H1651,NCI-H1651,NCI-H1651,NCIH1651,,,NCI-H1651,,NCI-H1651,NCI-H1651,,,,,,NCIH1651,lung,
NCI-H1666,NCI-H1666,NCI-H1666,NCIH1666,,,NCI-H1666,NCIH1666,NCI-H1666,NCI-H1666,,,,,,NCIH1666,lung,
NCI-H1694,NCI-H1694,NCI-H1694,NCIH1694,,,,NCIH1694,NCI-H1694,NCI-H1694,,,,,,,lung,
NCI-H1703,NCI-H1703,NCI-H1703,NCIH1703,,,NCI-H1703,,NCI-H1703,NCI-H1703,,,,,,NCIH1703,lung,
NCI-H1755,NCI-H1755,NCI-H1755,,,,,NCIH1755,NCI-H1755,NCI-H1755,,,,,,,lung,
NCI-H1770,NCI-H1770,,NCIH1770,,,NCI-H1770,,NCI-H1770,,,,,,,NCIH1770,lung,
NCI-H1781,,NCI-H1781,,,,NCI-H1781,NCIH1781,NCI-H1781,NCI-H1781,,,,,,,lung,
NCI-H1792,NCI-H1792,NCI-H1792,NCIH1792,,,NCI-H1792,NCIH1792,NCI-H1792,NCI-H1792,,,,,,,lung,
NCI-H1793,NCI-H1793,NCI-H1793,NCIH1793,,,NCI-H1793,NCIH1793,NCI-H1793,NCI-H1793,,,,,,,lung,
NCI-H1836,,NCI-H1836,,,,,NCIH1836,NCI-H1836,,,,NCI-H1836,,,,lung,
NCI-H1838,NCI-H1838,NCI-H1838,NCIH1838,,,NCI-H1838,,NCI-H1838,NCI-H1838,,,,,,,lung,
NCI-H187,NCI-H187,,NCIH187,,,NCI-H187,,NCI-H187,,,,,,,NCIH187,lung,
NCI-H1876,,NCI-H1876,,,,,NCIH1876,NCI-H1876,NCI-H1876,,,,,,,lung,
NCI-H1915,,NCI-H1915,,,,NCI-H1915,NCIH1915,NCI-H1915,NCI-H1915,,,,,,,lung,
NCI-H1930,NCI-H1930,NCI-H1930,NCIH1930,,,NCI-H1930,NCIH1930,,NCI-H1930,,,,,,,lung,
NCI-H1944,,NCI-H1944,,,,NCI-H1944,NCIH1944,NCI-H1944,NCI-H1944,,,,,,,lung,
NCI-H1963,NCI-H1963,NCI-H1963,,,,,NCIH1963,NCI-H1963,NCI-H1963,,,,,,,lung,
NCI-H1975,NCI-H1975,NCI-H1975,NCIH1975,,,NCI-H1975,NCIH1975,NCI-H1975,NCI-H1975,,,,,,,lung,
NCI-H1993,NCI-H1993,,NCIH1993,,,,,NCI-H1993,,,,,,,NCIH1993,lung,
NCI-H2009,NCI-H2009,NCI-H2009,NCIH2009,,,NCI-H2009,NCIH2009,NCI-H2009,NCI-H2009,,,,,,,lung,
NCI-H2023,,NCI-H2023,,,,NCI-H2023,NCIH2023,NCI-H2023,NCI-H2023,,,,,,,lung,
NCI-H2029,NCI-H2029,NCI-H2029,,,,,NCIH2029,NCI-H2029,NCI-H2029,,,,,,,lung,
NCI-H2030,NCI-H2030,NCI-H2030,NCIH2030,,,NCI-H2030,NCIH2030,NCI-H2030,NCI-H2030,,,,,,,lung,
NCI-H2052,NCI-H2052,NCI-H2052,NCIH2052,,,NCI-H2052,NCIH2052,NCI-H2052,NCI-H2052,,,,,,,pleura,
NCI-H2073,,NCI-H2073,,,,NCI-H2073,NCIH2073,,NCI-H2073,,,NCI-H2073,,,,lung,
NCI-H2081,NCI-H2081,NCI-H2081,NCIH2081,,,NCI-H2081,NCIH2081,,NCI-H2081,,,,,,,lung,
NCI-H2087,NCI-H2087,NCI-H2087,NCIH2087,,,,,NCI-H2087,NCI-H2087,,,,,,,lung,
NCI-H209,NCI-H209,NCI-H209,NCIH209,,,NCI-H209,,NCI-H209,NCI-H209,,,,,,NCIH209,lung,
NCI-H2107,NCI-H2107,,NCIH2107,,,,,,,,,,,,NCIH2107,lung,
NCI-H2110,,NCI-H2110,,,,NCI-H2110,NCIH2110,NCI-H2110,NCI-H2110,,,,,,,lung,
NCI-H2122,NCI-H2122,NCI-H2122,NCIH2122,,,NCI-H2122,NCIH2122,NCI-H2122,NCI-H2122,,,,,,,lung,
NCI-H2126,NCI-H2126,NCI-H2126,NCIH2126,,,NCI-H2126,NCIH2126,NCI-H2126,NCI-H2126,,,,,,,lung,
NCI-H2141,NCI-H2141,NCI-H2141,,,,,NCIH2141,NCI-H2141,,,,,,,,lung,
NCI-H2170,NCI-H2170,NCI-H2170,NCIH2170,,,NCI-H2170,,NCI-H2170,NCI-H2170,,,,,,NCIH2170,lung,
NCI-H2171,NCI-H2171,NCI-H2171,NCIH2171,,,NCI-H2171,,,NCI-H2171,,,,,,,lung,
NCI-H2172,,NCI-H2172,,,,NCI-H2172,NCIH2172,NCI-H2172,NCI-H2172,,,,,,,lung,
NCI-H2196,NCI-H2196,NCI-H2196,,,,NCI-H2196,,NCI-H2196,NCI-H2196,,,,,,,lung,
NCI-H2228,NCI-H2228,NCI-H2228,NCIH2228,,,NCI-H2228,,NCI-H2228,NCI-H2228,,,,,,,lung,
NCI-H226,NCI-H226,NCI-H226,NCIH226,LC:NCI_H226,,NCI-H226,,NCI-H226,NCI-H226,,,,,,NCIH226,lung,
NCI-H2286,,NCI-H2286,,,,,NCIH2286,NCI-H2286,NCI-H2286,,,,,,,lung,
NCI-H23,NCI-H23,NCI-H23,NCIH23,LC:NCI_H23,,NCI-H23,NCIH23,NCI-H23,NCI-H23,,,,,,NCIH23,lung,
NCI-H2342,NCI-H2342,NCI-H2342,,,,,NCIH2342,NCI-H2342,NCI-H2342,,,,,,,lung,
NCI-H2347,NCI-H2347,NCI-H2347,NCIH2347,,,NCI-H2347,,NCI-H2347,NCI-H2347,,,,,,NCIH2347,lung,
NCI-H2405,NCI-H2405,NCI-H2405,NCIH2405,,,,NCIH2405,NCI-H2405,NCI-H2405,,,,,,NCIH2405,lung,
NCI-H28,NCI-H28,NCI-H28,,,,NCI-H28,NCIH28,NCI-H28,NCI-H28,,,,,,,pleura,
NCI-H292,NCI-H292,NCI-H292,NCIH292,,,NCI-H292,,NCI-H292,NCI-H292,,,,,,,lung,
NCI-H295,NCI-H295,,NCIH295R,,,,,,,,,,,,,adrenal_gland,
NCI-H322,,NCI-H322,NCIH322,LC:NCI_H322M,,,,,NCI-H322,,,,,,,lung,
NCI-H3255,,NCI-H3255,,,,,NCIH3255,,NCI-H3255,,,,,,,lung,
NCI-H358,NCI-H358,NCI-H358,NCIH358,,,NCI-H358,NCIH358,NCI-H358,NCI-H358,,,,,,NCIH358,lung,
NCI-H441,NCI-H441,NCI-H441,NCIH441,,,NCI-H441,NCIH441,NCI-H441,NCI-H441,,,,,,NCIH441,lung,
NCI-H446,NCI-H446,NCI-H446,NCIH446,,,NCI-H446,,NCI-H446,NCI-H446,,,,,,,lung,
NCI-H460,NCI-H460,NCI-H460,NCIH460,LC:NCI_H460,,NCI-H460,NCIH460,,NCI-H460,,,,,,NCIH460,lung,
NCI-H508,NCI-H508,NCI-H508,NCIH508,,,,NCIH508,,NCI-H508,,,,,,,large_intestine,
NCI-H510A,NCI-H510A,NCI-H510,,,,NCI-H510A,,NCI-H510A,NCI-H510,,,,,,,lung,
NCI-H520,NCI-H520,NCI-H520,NCIH520,,,NCI-H520,,NCI-H520,NCI-H520,,,,,,NCIH520,lung,
NCI-H522,NCI-H522,NCI-H522,NCIH522,LC:NCI_H522,,NCI-H522,NCIH522,NCI-H522,NCI-H522,,,,,,,lung,
NCI-H524,NCI-H524,NCI-H524,NCIH524,,,,,NCI-H524,NCI-H524,,,,,,,lung,
NCI-H526,NCI-H526,NCI-H526,NCIH526,,,,,NCI-H526,NCI-H526,,,,,,NCIH526,lung,
NCI-H596,NCI-H596,NCI-H596,NCIH596,,,NCI-H596,NCIH596,NCI-H596,NCI-H596,,,,,,NCIH596,lung,
NCI-H630,NCI-H630,,NCIH630,,,,,NCI-H630,,,,,,,,large_intestine,
NCI-H650,NCI-H650,NCI-H650,NCIH650,,,NCI-H650,NCIH650,NCI-H650,NCI-H650,,,,,,,lung,
NCI-H660,,NCI-H660,NCIH660,,,,,NCI-H660,NCI-H660,,,,,,,prostate,
NCI-H661,NCI-H661,NCI-H661,NCIH661,,,,NCIH661,NCI-H661,NCI-H661,,,,,,,lung,
NCI-H69,NCI-H69,NCI-H69,NCIH69,,,,,NCI-H69,NCI-H69,,,,,,NCIH69,lung,
NCI-H716,NCI-H716,NCI-H716,NCIH716,,,NCI-H716,,NCI-H716,NCI-H716,,,,,,,large_intestine,
NCI-H720,NCI-H720,,NCIH720,,,,,NCI-H720,,,,,,,,lung,
NCI-H727,NCI-H727,NCI-H727,NCIH727,,,NCI-H727,NCIH727,NCI-H727,NCI-H727,,,,,,,lung,
NCI-H747,NCI-H747,NCI-H747,NCIH747,,,,,NCI-H747,NCI-H747,,,,,,,large_intestine,
